CatchId, Stage, Number of Cells, SurfaceArea (m2), BedArea (m2), Volume (m3), SLOPE, LENGTHKM, AREASQKM
44, 1.000000, 9209, 843106.701530, 843348.646113, 478513.082075, 0.0061658230, 11439.400000, 13.900166
44, 2.000000, 16241, 1486916.711719, 1487690.116826, 1646728.819571, 0.0061658230, 11439.400000, 13.900166
44, 5.000000, 40192, 3679721.236871, 3682690.621448, 9409401.863569, 0.0061658230, 11439.400000, 13.900166
44, 10.000000, 75388, 6902083.977561, 6908564.081241, 36033270.311598, 0.0061658230, 11439.400000, 13.900166
108, 0.100000, 784, 71801.443853, 71806.251797, 6255.758453, 0.0035721460, 6490.100000, 6.158327
108, 0.200000, 1028, 94148.488338, 94155.430597, 14515.830671, 0.0035721460, 6490.100000, 6.158327
108, 0.500000, 1957, 179230.537561, 179263.683691, 54632.672573, 0.0035721460, 6490.100000, 6.158327
108, 1.000000, 3270, 299480.331592, 299609.315152, 175964.304023, 0.0035721460, 6490.100000, 6.158327
108, 2.000000, 4931, 451600.898722, 452155.105734, 557545.187327, 0.0035721460, 6490.100000, 6.158327
108, 5.000000, 10753, 984805.461315, 988027.344700, 2703028.472322, 0.0035721460, 6490.100000, 6.158327
108, 10.000000, 20002, 1831859.870431, 1838557.898107, 9763295.503873, 0.0035721460, 6490.100000, 6.158327
41, 0.100000, 1301, 119066.124537, 119069.608960, 9706.188249, 0.0051470320, 9070.700000, 14.978398
41, 0.200000, 1861, 170315.624023, 170323.238784, 24097.786864, 0.0051470320, 9070.700000, 14.978398
41, 0.500000, 3769, 344932.942383, 344984.625894, 101257.177238, 0.0051470320, 9070.700000, 14.978398
41, 1.000000, 6592, 603282.252847, 603478.939553, 343283.057719, 0.0051470320, 9070.700000, 14.978398
41, 2.000000, 11245, 1029111.483351, 1029826.283389, 1155291.870110, 0.0051470320, 9070.700000, 14.978398
41, 5.000000, 27633, 2528918.051074, 2531473.247809, 6494760.946918, 0.0051470320, 9070.700000, 14.978398
41, 10.000000, 54087, 4949961.468920, 4954849.043512, 25431944.595121, 0.0051470320, 9070.700000, 14.978398
59, 0.100000, 470, 43029.822336, 43032.082734, 4003.123959, 0.0039707090, 4463.500000, 7.665654
59, 0.200000, 568, 52001.987746, 52005.390318, 8711.495139, 0.0039707090, 4463.500000, 7.665654
59, 0.500000, 880, 80566.719688, 80586.470229, 28576.053011, 0.0039707090, 4463.500000, 7.665654
59, 1.000000, 1638, 149963.974774, 150130.873419, 84991.356671, 0.0039707090, 4463.500000, 7.665654
59, 2.000000, 3049, 279145.320220, 279612.586469, 301779.174605, 0.0039707090, 4463.500000, 7.665654
